_id,X,Y,FID,Latitude,Longitude
56,-8905351.3187,4932503.2108,56,-79.998132,40.456501
57,-8905428.9083,4932657.1196,57,-79.998829,40.457553
58,-8905501.6,4933384.2688,58,-79.999482,40.462523
59,-8910614.3929,4936789.7112,59,-80.045411,40.485794
60,-8908201.3203,4932801.8136,60,-80.023734,40.458542
61,-8899816.8475,4928855.4584,61,-79.948415,40.431563
62,-8899504.485,4929800.6899,62,-79.945609,40.438026
63,-8899180.8793,4929479.3624,63,-79.942702,40.435829
64,-8899013.3434,4929423.2007,64,-79.941197,40.435445
65,-8898393.4052,4929204.5531,65,-79.935628,40.43395
66,-8903646.6833,4929363.9679,66,-79.982819,40.43504
67,-8902551.4108,4929534.647,67,-79.97298,40.436207
68,-8901865.2375,4929344.8087,68,-79.966816,40.434909
69,-8900997.7247,4928824.6006,69,-79.959023,40.431352
70,-8900397.156,4928044.1205,70,-79.953628,40.426015
71,-8900376.5619,4928058.7439,71,-79.953443,40.426115
72,-8900297.7477,4927881.9487,72,-79.952735,40.424906
73,-8901409.6068,4928190.3553,73,-79.962723,40.427015
74,-8901134.2024,4928412.6363,74,-79.960249,40.428535
75,-8901142.6627,4928421.8493,75,-79.960325,40.428598
76,-8900878.3902,4928622.0529,76,-79.957951,40.429967
77,-8901693.0262,4928433.841,77,-79.965269,40.42868
78,-8901548.3109,4928308.0758,78,-79.963969,40.42782
79,-8904295.7872,4928100.7131,79,-79.98865,40.426402
80,-8903728.7258,4927962.0838,80,-79.983556,40.425454
81,-8900850.783,4932835.1711,81,-79.957703,40.45877
82,-8897927.8671,4921798.7087,82,-79.931446,40.383293
83,-8903517.1074,4933051.4122,83,-79.981655,40.460248
84,-8905593.3272,4929534.647,84,-80.000306,40.436207
85,-8908034.1184,4925874.5447,85,-80.022232,40.411177
86,-8904589.6707,4932465.4655,86,-79.99129,40.456243
87,-8906419.9858,4936393.3659,87,-80.007732,40.483086
88,-8909381.4182,4925286.6864,88,-80.034335,40.407156
89,-8912461.8511,4928214.1918,89,-80.062007,40.427178
90,-8912223.5161,4928146.7771,90,-80.059866,40.426717
91,-8911920.0592,4928133.4697,91,-80.05714,40.426626
92,-8911629.9606,4931977.7153,92,-80.054534,40.452909
93,-8910025.4014,4931914.371,93,-80.04012,40.452476
94,-8895042.9112,4933400.8022,94,-79.90553,40.462636
95,-8896211.3205,4934038.0176,95,-79.916026,40.466991
96,-8896526.5773,4933712.0157,96,-79.918858,40.464763
97,-8897222.2128,4932872.3326,97,-79.925107,40.459024
98,-8898586.4332,4932119.766,98,-79.937362,40.45388
99,-8901823.9379,4933062.239,99,-79.966445,40.460322
100,-8899633.6156,4929671.6896,100,-79.946769,40.437144
101,-8899899.1126,4930281.8964,101,-79.949154,40.441316
102,-8896640.1232,4936400.5375,102,-79.919878,40.483135
103,-8905861.3846,4929695.9685,103,-80.002714,40.43731
104,-8905781.6798,4928705.2651,104,-80.001998,40.430536
105,-8905827.3208,4928683.3286,105,-80.002408,40.430386
106,-8906930.163,4929427.7345,106,-80.012315,40.435476
107,-8904759.9895,4928306.9059,107,-79.99282,40.427812
108,-8905272.5045,4928485.0249,108,-79.997424,40.42903
109,-8907228.2766,4926731.1761,109,-80.014993,40.417036
110,-8905680.2677,4924535.4309,110,-80.001087,40.402017
111,-8904253.2632,4932692.0859,111,-79.988268,40.457792
112,-8904925.7442,4932227.2929,112,-79.994309,40.454615
113,-8905374.5844,4932590.1134,113,-79.998341,40.457095
114,-8909194.958,4935359.8407,114,-80.03266,40.476024
115,-8909666.2848,4934714.784,115,-80.036894,40.471616
116,-8910290.6758,4936138.121,116,-80.042503,40.481342
117,-8907560.0087,4932374.6139,117,-80.017973,40.455622
118,-8908983.117,4930544.3028,118,-80.030757,40.44311
119,-8907197.8864,4930832.4606,119,-80.01472,40.44508
120,-8905169.9792,4931025.9845,120,-79.996503,40.446403
121,-8906102.7252,4929786.9415,121,-80.004882,40.437932
122,-8896764.4671,4933010.2997,122,-79.920995,40.459967
123,-8899342.4039,4932325.6042,123,-79.944153,40.455287
124,-8900550.5543,4933205.9148,124,-79.955006,40.461304
